"Code","Name","Primary Role Name","Geographic Primary Care Organisation Code","Geographic Primary Care Organisation Name"
"RXE","ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST","NHS TRUST","02X","NHS DONCASTER CCG"
"RYY","KENT COMMUNITY HEALTH NHS FOUNDATION TRUST","NHS TRUST","91Q","NHS KENT AND MEDWAY CCG"
"RXC","EAST SUSSEX HEALTHCARE NHS TRUST","NHS TRUST","97R","NHS EAST SUSSEX CCG"
"RTH","OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","10Q","NHS OXFORDSHIRE CCG"
"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","M1J4Y","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG"
"REN","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","NHS TRUST","12F","NHS WIRRAL CCG"
"RGP","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","26A","NHS NORFOLK AND WAVENEY CCG"
"RA7","UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST","NHS TRUST","15C","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG"
"RBT","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","27D","NHS CHESHIRE CCG"
"RJ6","CROYDON HEALTH SERVICES NHS TRUST","NHS TRUST","36L","NHS SOUTH WEST LONDON CCG"
"RXK","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","NHS TRUST","D2P2L","NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG"
"R1A","HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST","NHS TRUST","18C","NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG"
"RBV","THE CHRISTIE NHS FOUNDATION TRUST","NHS TRUST","14L","NHS MANCHESTER CCG"
"RXQ","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","NHS TRUST","14Y","NHS BUCKINGHAMSHIRE CCG"
